Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
304,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,29,1988,12,308,26,9.0,3.4,1,,11,,2,2.33,4,1,+3,+0.88,-0.37,4.0,1.3,+2.7,+1.02,+0.05,Matches
305,Ã‰rik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,25,1992,25,843,34,24.6,9.4,7,,18,,0,2.12,21,12,+9,+0.96,-0.05,16.8,10.8,+6.0,+0.65,-0.29,Matches
306,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,24,1993,27,2042,76,59.7,22.7,23,,4,,0,1.11,30,44,-14,-0.62,-0.23,23.1,36.0,-12.9,-0.56,-0.13,Matches
307,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,23,1994,9,806,90,23.6,9.0,9,,0,,5,3.00,28,5,+23,+2.57,+0.64,18.7,4.3,+14.4,+1.60,+0.09,Matches
308,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,23,1993,33,2928,89,85.6,32.5,32,,1,,1,1.30,33,31,+2,+0.06,+1.89,37.9,43.5,-5.6,-0.17,+0.67,Matches
309,Adam Legzdins\Adam-Legzdins,eng ENG,GK,Burnley,30,1986,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
310,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,26,1991,24,2103,88,61.5,23.4,24,,0,,4,1.00,24,32,-8,-0.34,-0.34,23.3,30.2,-6.9,-0.30,-0.07,Matches
311,Jonathan Leko\Jonathan-Leko,eng ENG,FWMF,West Brom,18,1999,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
312,Mario Lemina\Mario-Lemina,ga GAB,MF,Southampton,23,1993,25,1720,69,50.3,19.1,20,,5,,6,1.12,18,31,-13,-0.68,-0.36,19.7,26.4,-6.7,-0.35,-0.39,Matches
313,Aaron Lennon\Aaron-Lennon,eng ENG,MFFW,Burnley,30,1987,14,1118,80,32.7,12.4,13,,1,,0,1.43,17,15,+2,+0.16,+0.36,13.8,13.4,+0.4,+0.03,+0.55,Matches
314,Aaron Lennon\Aaron-Lennon,eng ENG,FWMF,Everton,30,1987,15,793,53,23.2,8.8,9,,6,,0,1.27,15,14,+1,+0.11,+0.63,10.9,13.7,-2.8,-0.31,-0.05,Matches
315,Anders Lindegaard\Anders-Lindegaard,dk DEN,GK,Burnley,33,1984,0,,,,,0,,0,,25,,,,,,,,,,,,Matches
316,Victor LindelÃ¶f\Victor-Lindelof,se SWE,DF,Manchester Utd,23,1994,17,1285,76,37.6,14.3,13,,4,,9,2.00,26,14,+12,+0.84,-0.34,21.6,15.9,+5.7,+0.40,-0.08,Matches
317,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,24,1992,33,1817,55,53.1,20.2,20,,13,,4,2.00,41,18,+23,+1.14,+0.18,31.4,23.4,+7.9,+0.39,-0.13,Matches
318,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,27,1989,34,2674,79,78.2,29.7,30,,4,,0,0.88,22,41,-19,-0.64,+0.08,27.6,36.9,-9.3,-0.31,+0.14,Matches
319,Fernando Llorente\Fernando-Llorente,es ESP,FWDF,Tottenham,32,1985,16,238,15,7.0,2.6,1,,15,,13,1.63,5,2,+3,+1.13,+0.14,6.8,3.7,+3.2,+1.27,+0.43,Matches
320,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,30,1986,36,3240,90,94.7,36.0,36,,0,,0,2.03,72,35,+37,+1.03,+0.53,64.9,33.2,+31.7,+0.88,+0.24,Matches
321,JÃ¼rgen Locadia\Jurgen-Locadia,nl NED,FWMF,Brighton,23,1993,6,224,37,6.5,2.5,3,,3,,6,0.50,3,8,-5,-2.01,-1.59,3.4,5.4,-2.0,-0.80,-0.52,Matches
322,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Crystal Palace,21,1996,24,1874,78,54.8,20.8,21,,3,,0,1.33,28,30,-2,-0.10,+0.37,29.9,27.0,+2.9,+0.14,+0.06,Matches
323,Jason Lokilo\Jason-Lokilo,be BEL,FW,Crystal Palace,18,1998,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
324,Joe Lolley\Joe-Lolley,eng ENG,MFFW,Huddersfield,24,1992,6,221,37,6.5,2.5,2,,4,,2,1.00,2,5,-3,-1.22,-0.46,1.2,2.6,-1.4,-0.58,0.00,Matches
325,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,26,1990,16,1440,90,42.1,16.0,16,,0,,22,1.19,14,21,-7,-0.44,-0.62,13.9,21.5,-7.7,-0.48,-0.24,Matches
326,Shane Long\Shane-Long,ie IRL,FW,Southampton,30,1987,30,1582,53,46.3,17.6,15,,15,,3,1.00,18,28,-10,-0.57,-0.13,20.6,23.1,-2.5,-0.14,+0.03,Matches
327,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,Everton,19,1997,7,159,23,4.6,1.8,1,,6,,10,1.86,7,6,+1,+0.57,+0.98,4.6,3.3,+1.3,+0.77,+1.09,Matches
328,Jonas LÃ¶ssl\Jonas-Lossl,dk DEN,GK,Huddersfield,28,1989,38,3420,90,100.0,38.0,38,,0,,0,0.97,28,58,-30,-0.79,,32.6,54.5,-21.9,-0.58,,Matches
