Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
354,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,13,545,42,20.9,6.1,6,74,7,15,11,0.85,5,7,-2,-0.33,-0.16,4.8,8.6,-3.8,-0.63,-0.37,Matches
355,Luka MilivojeviÄ‡\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,23,1986,86,76.1,22.1,22,89,1,20,1,1.22,18,26,-8,-0.36,-0.65,20.1,28.6,-8.5,-0.39,-0.22,Matches
356,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,18,759,42,29.1,8.4,7,88,11,13,4,3.00,22,7,+15,+1.78,+0.32,17.6,8.3,+9.3,+1.10,+0.24,Matches
357,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25,2085,83,79.9,23.2,23,90,2,8,2,1.32,27,36,-9,-0.39,-0.39,31.0,29.0,+2.0,+0.09,-0.33,Matches
358,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,3,77,26,3.0,0.9,0,,3,26,5,2.00,2,1,+1,+1.17,-0.39,2.1,1.7,+0.4,+0.49,-0.45,Matches
359,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,23,2003,87,79.5,22.3,23,87,0,,0,0.96,29,42,-13,-0.58,+0.98,25.0,43.0,-18.0,-0.81,+0.58,Matches
360,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
361,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,3,111,37,4.4,1.2,1,84,2,14,1,1.33,2,0,+2,+1.62,+1.55,1.6,0.5,+1.1,+0.91,+1.12,Matches
362,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3,270,90,10.7,3.0,3,90,0,,0,2.00,4,4,0,0.00,-0.16,2.8,4.1,-1.3,-0.44,-0.31,Matches
363,MartÃ­n Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,23,1711,74,65.6,19.0,21,80,2,18,2,1.09,17,25,-8,-0.42,-0.42,22.2,26.6,-4.4,-0.23,-0.03,Matches
