Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
18,Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,23,1992,1,45,45,1.3,0.5,0,,1,,3,1.00,3,1,+2,+4.00,+4.64,Matches
19,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,20,1994,5,104,21,3.0,1.2,1,,4,,7,2.60,2,2,0,0.00,-0.87,Matches
20,Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,23,1992,8,463,58,13.5,5.1,5,,3,,14,2.25,10,5,+5,+0.97,+1.43,Matches
21,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Aston Villa,21,1994,10,837,84,24.5,9.3,9,,1,,2,0.50,8,13,-5,-0.54,+1.00,Matches
22,Marco Amelia\Marco-Amelia,it ITA,GK,Chelsea,33,1982,0,,,,,0,,0,,7,,,,,,,Matches
23,Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,28,1987,12,506,42,14.8,5.6,4,,8,,4,1.00,5,9,-4,-0.71,-0.53,Matches
24,Tony Andreu\Tony-Andreu,fr FRA,MF,Norwich City,27,1988,0,,,,,0,,0,,1,,,,,,,Matches
25,JosÃ© Ãngel Crespo\Jose-Angel-Crespo,es ESP,FW,Aston Villa,28,1987,1,90,90,2.6,1.0,1,,0,,3,0.00,0,1,-1,-1.00,+0.30,Matches
26,AngeliÃ±o\Angelino,es ESP,DF,Manchester City,18,1997,0,,,,,0,,0,,2,,,,,,,Matches
27,Gabriele Angella\Gabriele-Angella,it ITA,DF,Watford,26,1989,0,,,,,0,,0,,2,,,,,,,Matches
28,Victor Anichebe\Victor-Anichebe,ng NGA,FW,West Brom,27,1988,10,369,37,10.8,4.1,3,,7,,20,1.00,2,4,-2,-0.49,-0.13,Matches
29,Vurnon Anita\Vurnon-Anita,nl NED,MFDF,Newcastle Utd,26,1989,28,2101,75,61.4,23.3,24,,4,,1,0.96,24,37,-13,-0.56,-0.01,Matches
30,Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,25,1990,26,2057,79,60.1,22.9,23,,3,,7,1.69,38,29,+9,+0.39,+0.06,Matches
31,Ikechi Anya\Ikechi-Anya,sco SCO,MFDF,Watford,27,1988,28,1686,60,49.3,18.7,17,,11,,9,1.14,23,26,-3,-0.16,+0.20,Matches
32,Giedrius Arlauskis\Giedrius-Arlauskis,lt LTU,GK,Watford,27,1987,1,24,24,0.7,0.3,0,,1,,18,3.00,2,1,+1,+3.75,+4.04,Matches
33,Marko ArnautoviÄ‡\Marko-Arnautovic,at AUT,MFFW,Stoke City,26,1989,34,2807,83,82.1,31.2,33,,1,,0,1.41,36,43,-7,-0.22,+0.80,Matches
34,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,25,1989,21,1661,79,48.6,18.5,21,,0,,0,1.19,17,25,-8,-0.43,+0.28,Matches
35,Mikel Arteta\Mikel-Arteta,es ESP,MF,Arsenal,33,1982,9,169,19,4.9,1.9,0,,9,,4,2.22,7,4,+3,+1.60,+0.88,Matches
36,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,26,1989,7,211,30,6.2,2.3,2,,5,,3,1.71,3,2,+1,+0.43,-0.05,Matches
37,AndrÃ© Ayew\Andre-Ayew,gh GHA,MFFW,Swansea City,25,1989,34,2925,86,85.5,32.5,34,,0,,1,1.24,35,43,-8,-0.25,+0.12,Matches
38,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Aston Villa,23,1991,30,2349,78,68.7,26.1,27,,3,,4,0.43,14,49,-35,-1.34,-0.16,Matches
39,CÃ©sar Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,25,1989,37,3199,86,93.5,35.5,36,,1,,1,1.35,57,50,+7,+0.20,+0.60,Matches
40,Daniel Bachmann\Daniel-Bachmann,at AUT,GK,Stoke City,21,1994,0,,,,,0,,0,,2,,,,,,,Matches
41,Leandro Bacuna\Leandro-Bacuna,cw CUW,DFMF,Aston Villa,23,1991,31,2417,78,70.7,26.9,27,,4,,7,0.55,23,48,-25,-0.93,+1.22,Matches
42,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,30,1984,18,1479,82,43.2,16.4,16,,2,,5,1.06,17,26,-9,-0.55,-1.15,Matches
43,Nathan Baker\Nathan-Baker,eng ENG,DF,Aston Villa,24,1991,0,,,,,0,,0,,3,,,,,,,Matches
44,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Norwich City,21,1993,7,238,34,7.0,2.6,2,,5,,2,0.57,1,1,0,0.00,+0.79,Matches
45,Patrick Bamford\Patrick-Bamford,eng ENG,FWMF,Crystal Palace,21,1993,6,124,21,3.6,1.4,0,,6,,8,0.67,1,2,-1,-0.73,-0.43,Matches
46,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Stoke City,30,1985,11,817,74,23.9,9.1,9,,2,,4,1.27,10,18,-8,-0.88,-0.67,Matches
47,Brandon Barker\Brandon-Barker,eng ENG,MF,Manchester City,18,1996,0,,,,,0,,0,,2,,,,,,,Matches
48,Ross Barkley\Ross-Barkley,eng ENG,MF,Everton,21,1993,38,3075,81,89.9,34.2,36,,2,,0,1.24,53,51,+2,+0.06,-0.46,Matches
49,Daniel Barlaser\Daniel-Barlaser,tr TUR,MF,Newcastle Utd,18,1997,0,,,,,0,,0,,1,,,,,,,Matches
50,Modou Barrow\Modou-Barrow,gm GAM,MFFW,Swansea City,22,1992,22,791,36,23.1,8.8,6,,16,,6,1.09,12,15,-3,-0.34,-0.10,Matches
51,Gareth Barry\Gareth-Barry,eng ENG,MF,Everton,34,1981,33,2837,86,83.0,31.5,32,,1,,0,1.30,53,43,+10,+0.32,+1.24,Matches
52,Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,24,1991,5,286,57,8.4,3.2,3,,2,,12,1.00,2,6,-4,-1.26,-1.09,Matches
53,SÃ©bastien Bassong\Sebastien-Bassong,cm CMR,DF,Norwich City,29,1986,32,2790,87,81.6,31.0,30,,2,,3,0.84,31,56,-25,-0.81,-0.38,Matches
54,Tom Beadling\Tom-Beadling,eng ENG,DFMF,Sunderland,19,1996,0,,,,,0,,0,,1,,,,,,,Matches
55,Asmir BegoviÄ‡\Asmir-Begovic,ba BIH,GK,Chelsea,28,1987,17,1399,82,40.9,15.5,15,,2,,21,1.00,18,24,-6,-0.39,-0.92,Matches
56,Valon Behrami\Valon-Behrami,ch SUI,MF,Watford,30,1985,21,1279,61,37.4,14.2,14,,7,,5,1.33,9,15,-6,-0.42,-0.25,Matches
57,HÃ©ctor BellerÃ­n\Hector-Bellerin,es ESP,DF,Arsenal,20,1995,36,3240,90,94.7,36.0,36,,0,,0,1.94,64,33,+31,+0.86,+1.86,Matches
58,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,28,1987,4,68,17,2.0,0.8,0,,4,,7,2.50,0,1,-1,-1.32,-2.21,Matches
59,Joe Bennett\Joe-Bennett,eng ENG,DF,Bournemouth,25,1990,0,,,,,0,,0,,7,,,,,,,Matches
60,Joe Bennett\Joe-Bennett,eng ENG,DF,Aston Villa,25,1990,0,,,,,0,,0,,1,,,,,,,Matches
61,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Norwich City,25,1990,22,1837,84,53.7,20.4,20,,2,,10,0.95,17,32,-15,-0.73,0.00,Matches
62,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Tottenham,20,1994,5,170,34,5.0,1.9,2,,3,,6,1.20,1,3,-2,-1.06,-2.06,Matches
63,Christian Benteke\Christian-Benteke,be BEL,FW,Liverpool,24,1990,29,1529,53,44.7,17.0,14,,15,,1,1.48,21,20,+1,+0.06,-0.51,Matches
64,Saido Berahino\Saido-Berahino,bi BDI,FWMF,West Brom,21,1993,31,1746,56,51.1,19.4,17,,14,,4,1.13,18,24,-6,-0.31,+0.12,Matches
65,Steven Berghuis\Steven-Berghuis,nl NED,FWMF,Watford,23,1991,9,231,26,6.8,2.6,0,,9,,7,1.11,3,4,-1,-0.39,-0.14,Matches
66,Ryan Bertrand\Ryan-Bertrand,eng ENG,DFMF,Southampton,25,1989,32,2880,90,84.2,32.0,32,,0,,0,1.78,52,33,+19,+0.59,+0.76,Matches
67,Muhamed BeÅ¡iÄ‡\Muhamed-Besic,ba BIH,MFDF,Everton,22,1992,12,558,47,16.3,6.2,7,,5,,8,1.17,7,12,-5,-0.81,-1.09,Matches
68,Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,FWMF,Stoke City,27,1987,26,1278,49,37.4,14.2,12,,14,,8,1.42,12,25,-13,-0.92,-0.87,Matches
69,Jamal Blackman\Jamal-Blackman,eng ENG,GK,Chelsea,21,1993,0,,,,,0,,0,,7,,,,,,,Matches
70,Daley Blind\Daley-Blind,nl NED,DF,Manchester Utd,25,1990,35,3114,89,91.1,34.6,35,,0,,2,1.69,44,35,+9,+0.26,-1.21,Matches
71,Hiram Boateng\Hiram-Boateng,eng ENG,MF,Crystal Palace,19,1996,1,19,19,0.6,0.2,0,,1,,2,1.00,0,0,0,0.00,+0.32,Matches
72,ÃdÃ¡m BogdÃ¡n\Adam-Bogdan,hu HUN,GK,Liverpool,27,1987,2,180,90,5.3,2.0,2,,0,,21,0.50,1,4,-3,-1.50,-1.94,Matches
73,Yannick Bolasie\Yannick-Bolasie,cd COD,MFFW,Crystal Palace,26,1989,26,2075,80,60.7,23.1,23,,3,,0,1.38,30,21,+9,+0.39,+1.80,Matches
74,Wilfried Bony\Wilfried-Bony,ci CIV,FW,Manchester City,26,1988,26,1226,47,35.8,13.6,13,,13,,3,1.85,28,11,+17,+1.25,+0.71,Matches
75,Fabio Borini\Fabio-Borini,it ITA,MFFW,Sunderland,24,1991,26,1891,73,55.3,21.0,22,,4,,3,1.00,24,29,-5,-0.24,+0.29,Matches
76,Cameron Borthwick-Jackson\Cameron-Borthwick-Jackson,eng ENG,DF,Manchester Utd,18,1997,10,695,70,20.3,7.7,6,,4,,6,1.70,12,6,+6,+0.78,+0.51,Matches
77,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,35,1980,32,2880,90,84.2,32.0,32,,0,,1,1.25,38,51,-13,-0.41,+1.09,Matches
78,Robbie Brady\Robbie-Brady,ie IRL,MFDF,Norwich City,23,1992,36,2984,83,87.3,33.2,34,,2,,0,0.92,35,57,-22,-0.66,+0.57,Matches
79,Cameron Brannagan\Cameron-Brannagan,eng ENG,MF,Liverpool,19,1996,3,114,38,3.3,1.3,1,,2,,2,1.33,1,1,0,0.00,-0.35,Matches
80,Liam Bridcutt\Liam-Bridcutt,sco SCO,DFMF,Sunderland,26,1989,0,,,,,0,,0,,3,,,,,,,Matches
81,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,30,1985,24,2073,86,60.6,23.0,24,,0,,5,1.29,31,28,+3,+0.13,+1.00,Matches
82,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,32,1982,25,1520,61,44.4,16.9,19,,6,,5,1.20,17,21,-4,-0.24,+0.05,Matches
83,Wes Brown\Wes-Brown,eng ENG,DF,Sunderland,35,1979,6,540,90,15.8,6.0,6,,0,,9,1.17,11,15,-4,-0.67,-0.35,Matches
84,Marcus Browne\Marcus-Browne,eng ENG,FWMF,West Ham,17,1997,0,,,,,0,,0,,1,,,,,,,Matches
85,Tyias Browning\Tyias-Browning,eng ENG,DF,Everton,21,1994,5,300,60,8.8,3.3,3,,2,,3,1.60,2,5,-3,-0.90,-1.10,Matches
86,Chris Brunt\Chris-Brunt,nir NIR,DFMF,West Brom,30,1984,22,1800,82,52.6,20.0,20,,2,,0,1.32,21,25,-4,-0.20,+0.36,Matches
87,Mark Bunn\Mark-Bunn,eng ENG,GK,Aston Villa,30,1984,10,900,90,26.3,10.0,10,,0,,28,0.90,7,18,-11,-1.10,+0.26,Matches
88,Matt Butcher\Matt-Butcher,eng ENG,MF,Bournemouth,18,1997,0,,,,,0,,0,,1,,,,,,,Matches
89,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,22,1993,31,2790,90,81.6,31.0,31,,0,,0,1.48,34,37,-3,-0.10,+1.47,Matches
90,Sam Byram\Sam-Byram,eng ENG,DF,West Ham,21,1993,4,288,72,8.4,3.2,2,,2,,4,1.25,4,3,+1,+0.31,-0.06,Matches
91,Willy Caballero\Willy-Caballero,ar ARG,GK,Manchester City,33,1981,4,311,78,9.1,3.5,3,,1,,34,1.50,8,5,+3,+0.87,+0.09,Matches
92,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,29,1986,33,2689,81,78.6,29.9,32,,1,,0,1.15,29,32,-3,-0.10,+1.01,Matches
93,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,29,1985,23,1957,85,57.2,21.7,21,,2,,10,1.09,31,38,-7,-0.32,-1.12,Matches
94,Geoff Cameron\Geoff-Cameron,us USA,DFMF,Stoke City,30,1985,30,2359,79,69.0,26.2,27,,3,,0,1.43,29,39,-10,-0.38,-0.04,Matches
95,Fraizer Campbell\Fraizer-Campbell,eng ENG,FW,Crystal Palace,27,1987,11,362,33,10.6,4.0,4,,7,,12,0.82,3,8,-5,-1.24,-1.04,Matches
96,Joel Campbell\Joel-Campbell,cr CRC,MF,Arsenal,23,1992,19,884,47,25.8,9.8,11,,8,,11,1.74,16,8,+8,+0.81,+0.07,Matches
97,Emre Can\Emre-Can,de GER,MFDF,Liverpool,21,1994,30,2491,83,72.8,27.7,28,,2,,0,1.53,45,38,+7,+0.25,-0.33,Matches
98,Sergi CanÃ³s\Sergi-Canos,es ESP,FWMF,Liverpool,18,1997,1,10,10,0.3,0.1,0,,1,,0,1.00,0,0,0,0.00,-0.34,Matches
99,Ã‰tienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,27,1988,33,2814,85,82.3,31.3,33,,0,,0,1.24,30,35,-5,-0.16,+0.58,Matches
100,Baily Cargill\Baily-Cargill,eng ENG,DF,Bournemouth,20,1995,0,,,,,0,,0,,7,,,,,,,Matches
101,Juan Carlos Paredes\Juan-Carlos-Paredes,ec ECU,DFMF,Watford,28,1987,17,771,45,22.5,8.6,7,,10,,9,1.41,13,12,+1,+0.12,+0.49,Matches
102,JoÃ£o Carlos Teixeira\Joao-Carlos-Teixeira,pt POR,MF,Liverpool,22,1993,1,4,4,0.1,0.0,0,,1,,9,0.00,0,0,0,0.00,-0.34,Matches
103,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,34,1981,28,1972,70,57.7,21.9,22,,6,,3,1.68,30,24,+6,+0.27,-0.22,Matches
104,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,26,1989,27,1440,53,42.1,16.0,13,,14,,1,1.70,31,23,+8,+0.50,+0.23,Matches
105,Tom Carroll\Tom-Carroll,eng ENG,MF,Tottenham,23,1992,19,515,27,15.1,5.7,4,,15,,13,2.16,8,7,+1,+0.17,-0.85,Matches
106,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,26,1989,35,3034,87,88.7,33.7,34,,1,,1,1.20,37,46,-9,-0.27,-0.03,Matches
107,Lee Cattermole\Lee-Cattermole,eng ENG,MF,Sunderland,27,1988,31,2210,71,64.6,24.6,27,,4,,1,1.19,34,35,-1,-0.04,+0.93,Matches
108,Steven Caulker\Steven-Caulker,eng ENG,DF,Liverpool,23,1991,3,5,2,0.1,0.1,0,,3,,1,1.33,2,1,+1,+18.00,+17.68,Matches
109,Steven Caulker\Steven-Caulker,eng ENG,DF,Southampton,23,1991,3,146,49,4.3,1.6,1,,2,,10,1.33,1,1,0,0.00,-0.49,Matches
110,Santi Cazorla\Santi-Cazorla,es ESP,MF,Arsenal,30,1984,15,1291,86,37.7,14.3,15,,0,,2,2.00,26,12,+14,+0.98,+0.34,Matches
111,Petr ÄŒech\Petr-Cech,cz CZE,GK,Arsenal,33,1982,34,3060,90,89.5,34.0,34,,0,,2,1.85,54,31,+23,+0.68,-0.82,Matches
112,Bersant Celina\Bersant-Celina,xk KVX,FWMF,Manchester City,18,1996,1,14,14,0.4,0.2,0,,1,,2,0.00,1,0,+1,+6.43,+5.66,Matches
113,Nacer Chadli\Nacer-Chadli,be BEL,MF,Tottenham,25,1989,29,947,33,27.7,10.5,10,,19,,2,1.86,13,11,+2,+0.19,-0.97,Matches
114,Marouane Chamakh\Marouane-Chamakh,ma MAR,FW,Crystal Palace,31,1984,10,257,26,7.5,2.9,1,,9,,6,0.90,2,4,-2,-0.70,-0.42,Matches
115,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Arsenal,20,1995,12,322,27,9.4,3.6,2,,10,,17,2.17,5,3,+2,+0.56,-0.23,Matches
116,James Chester\James-Chester,wal WAL,DF,West Brom,26,1989,13,964,74,28.2,10.7,9,,4,,24,0.92,7,18,-11,-1.03,-0.92,Matches
117,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,18,1996,0,,,,,0,,0,,9,,,,,,,Matches
118,Pedro Chirivella\Pedro-Chirivella,es ESP,MF,Liverpool,18,1997,1,45,45,1.3,0.5,1,,0,,2,0.00,0,2,-2,-4.00,-4.40,Matches
119,Lee Chung-yong\Lee-Chung-yong,kr KOR,MF,Crystal Palace,27,1988,13,390,30,11.4,4.3,4,,9,,12,0.85,3,11,-8,-1.85,-1.73,Matches
120,Papiss CissÃ©\Papiss-Cisse,sn SEN,FW,Newcastle Utd,30,1985,21,1067,51,31.2,11.9,14,,7,,4,1.19,12,20,-8,-0.67,-0.18,Matches
121,Aly Cissokho\Aly-Cissokho,fr FRA,DF,Aston Villa,27,1987,18,1603,89,46.9,17.8,18,,0,,0,0.44,12,40,-28,-1.57,-0.53,Matches
122,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Aston Villa,25,1989,18,1442,80,42.2,16.0,16,,2,,13,0.67,11,31,-20,-1.25,+0.07,Matches
123,Jake Clarke-Salter\Jake-Clarke-Salter,eng ENG,DF,Chelsea,17,1997,1,17,17,0.5,0.2,0,,1,,1,3.00,0,0,0,0.00,-0.16,Matches
124,Jordy Clasie\Jordy-Clasie,nl NED,MF,Southampton,24,1991,22,1538,70,45.0,17.1,20,,2,,6,1.95,22,17,+5,+0.29,-0.33,Matches
125,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Everton,25,1989,22,1612,73,47.1,17.9,17,,5,,4,1.00,22,27,-5,-0.28,-0.73,Matches
126,GaÃ«l Clichy\Gael-Clichy,fr FRA,DF,Manchester City,30,1985,14,1087,78,31.8,12.1,12,,2,,11,1.64,19,11,+8,+0.66,-0.19,Matches
127,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,24,1991,33,2970,90,86.8,33.0,33,,0,,1,1.48,54,45,+9,+0.27,-0.53,Matches
128,SebastiÃ¡n Coates\Sebastian-Coates,uy URU,DF,Sunderland,24,1990,16,1229,77,35.9,13.7,14,,2,,6,0.88,17,30,-13,-0.95,-0.91,Matches
129,Jack Colback\Jack-Colback,eng ENG,MF,Newcastle Utd,25,1989,29,2387,82,69.8,26.5,28,,1,,0,1.03,33,37,-4,-0.15,+1.33,Matches
130,Joe Cole\Joe-Cole,eng ENG,MF,Aston Villa,33,1981,0,,,,,0,,0,,3,,,,,,,Matches
131,SÃ©amus Coleman\Seamus-Coleman,ie IRL,DF,Everton,26,1988,28,2383,85,69.7,26.5,27,,1,,0,1.21,43,34,+9,+0.34,+0.77,Matches
132,Charlie Colkett\Charlie-Colkett,eng ENG,MF,Chelsea,18,1996,0,,,,,0,,0,,1,,,,,,,Matches
133,James Collins\James-Collins,wal WAL,DF,West Ham,31,1983,19,1441,76,42.1,16.0,16,,3,,10,1.89,22,14,+8,+0.50,+0.23,Matches
134,Fabricio Coloccini\Fabricio-Coloccini,ar ARG,DF,Newcastle Utd,33,1982,26,2292,88,67.0,25.5,26,,0,,0,0.92,27,46,-19,-0.75,-0.59,Matches
135,Callum Connolly\Callum-Connolly,eng ENG,DFMF,Everton,17,1997,1,37,37,1.1,0.4,0,,1,,2,1.00,1,1,0,0.00,-0.11,Matches
136,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,24,1991,36,3195,89,93.4,35.5,36,,0,,1,1.17,42,63,-21,-0.59,-0.19,Matches
137,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Arsenal,24,1991,26,1644,63,48.1,18.3,21,,5,,1,1.88,34,15,+19,+1.04,+0.53,Matches
138,Jack Cork\Jack-Cork,eng ENG,MF,Swansea City,26,1989,35,2546,73,74.4,28.3,28,,7,,3,1.31,32,31,+1,+0.04,+1.17,Matches
139,Diego Costa\Diego-Costa,es ESP,FW,Chelsea,26,1988,28,2373,85,69.4,26.4,27,,1,,1,1.43,44,40,+4,+0.15,-0.02,Matches
140,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,23,1992,23,2020,88,59.1,22.4,23,,0,,1,1.48,41,29,+12,+0.53,+0.92,Matches
141,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Liverpool,23,1992,26,1996,77,58.4,22.2,24,,2,,3,1.62,34,23,+11,+0.50,+0.37,Matches
142,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,25,1989,37,3314,90,96.9,36.8,37,,0,,0,1.59,63,50,+13,+0.35,-0.50,Matches
143,Luke Croll\Luke-Croll,eng ENG,DF,Crystal Palace,20,1995,0,,,,,0,,0,,1,,,,,,,Matches
144,Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,34,1981,11,463,42,13.5,5.1,4,,7,,22,0.82,4,12,-8,-1.56,-1.37,Matches
145,Juan Cuadrado\Juan-Cuadrado,co COL,DFFW,Chelsea,27,1988,1,27,27,0.8,0.3,0,,1,,0,0.00,0,2,-2,-6.67,-6.88,Matches
146,Josh Cullen\Josh-Cullen,ie IRL,DFMF,West Ham,19,1996,1,1,1,0.0,0.0,0,,1,,10,3.00,0,0,0,0.00,-0.37,Matches
147,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,28,1986,37,3285,89,96.1,36.5,37,,0,,0,1.14,44,63,-19,-0.52,+1.48,Matches
148,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,28,1987,35,3150,90,92.1,35.0,35,,0,,1,1.20,38,44,-6,-0.17,+1.83,Matches
149,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,24,1990,9,810,90,23.7,9.0,9,,0,,21,1.33,15,11,+4,+0.44,+1.31,Matches
150,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,25,1989,28,1924,69,56.3,21.4,24,,4,,3,1.79,29,18,+11,+0.51,+0.33,Matches
151,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,22,1993,17,1291,76,37.7,14.3,14,,3,,16,1.59,20,16,+4,+0.28,-0.99,Matches
152,Tom Davies\Tom-Davies,eng ENG,FW,Everton,17,1998,2,98,49,2.9,1.1,1,,1,,0,2.00,3,0,+3,+2.76,+2.73,Matches
153,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,17,1998,0,,,,,0,,0,,2,,,,,,,Matches
154,Kelvin Davis\Kelvin-Davis,eng ENG,GK,Southampton,38,1976,1,90,90,2.6,1.0,1,,0,,16,1.00,2,2,0,0.00,-0.49,Matches
155,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,30,1985,34,2602,77,76.1,28.9,31,,3,,0,1.56,49,31,+18,+0.62,+0.62,Matches
156,Craig Dawson\Craig-Dawson,eng ENG,DF,West Brom,25,1990,38,3384,89,98.9,37.6,38,,0,,0,1.13,33,48,-15,-0.40,-2.90,Matches
157,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,24,1991,25,2002,80,58.5,22.2,22,,3,,1,1.76,43,26,+17,+0.76,-0.06,Matches
158,Ritchie De Laet\Ritchie-De-Laet,be BEL,DF,Leicester City,26,1988,12,657,55,19.2,7.3,7,,5,,6,1.58,15,16,-1,-0.14,-1.21,Matches
159,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Arsenal,30,1985,2,142,71,4.2,1.6,2,,0,,15,0.50,1,3,-2,-1.27,-2.12,Matches
160,Troy Deeney\Troy-Deeney,eng ENG,FWMF,Watford,27,1988,38,3291,87,96.2,36.6,36,,2,,0,1.18,39,47,-8,-0.22,+1.18,Matches
161,Jermain Defoe\Jermain-Defoe,eng ENG,FW,Sunderland,32,1982,33,2550,77,74.6,28.3,28,,5,,4,1.12,39,45,-6,-0.21,+0.62,Matches
