Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,24,1990,33,2970,90,86.8,33.0,33,,0,,4,1.03,41,56,-15,-0.45,-0.65,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,DFMF,Newcastle Utd,19,1995,10,381,38,11.1,4.2,3,,7,,6,0.70,5,11,-6,-1.42,-0.97,Matches
3,Almen Abdi\Almen-Abdi,ch SUI,MF,Watford,28,1986,32,1974,62,57.7,21.9,25,,7,,4,1.22,29,33,-4,-0.18,+0.19,Matches
4,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,17,1997,2,55,28,1.6,0.6,0,,2,,0,1.00,1,2,-1,-1.64,-1.82,Matches
5,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,29,1985,22,1044,47,30.5,11.6,12,,10,,7,1.23,9,8,+1,+0.09,+0.65,Matches
6,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Crystal Palace,31,1984,12,619,52,18.1,6.9,7,,5,,1,0.33,5,15,-10,-1.45,-1.39,Matches
7,AdriÃ¡n\Adrian,es ESP,GK,West Ham,28,1987,32,2880,90,84.2,32.0,32,,0,,0,1.66,52,39,+13,+0.41,+0.24,Matches
8,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,29,1986,31,2102,68,61.5,23.4,24,,7,,1,1.48,29,35,-6,-0.26,+0.29,Matches
9,Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,22,1993,15,930,62,27.2,10.3,12,,3,,0,1.20,14,17,-3,-0.29,+0.40,Matches
10,Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FW,Aston Villa,28,1986,15,1031,69,30.1,11.5,13,,2,,0,0.47,8,21,-13,-1.13,+0.22,Matches
11,Sergio AgÃ¼ero\Sergio-Aguero,ar ARG,FW,Manchester City,27,1988,30,2360,79,69.0,26.2,29,,1,,2,1.73,46,30,+16,+0.61,-0.58,Matches
12,Ola Aina\Ola-Aina,ng NGA,DFMF,Chelsea,18,1996,0,,,,,0,,0,,1,,,,,,,Matches
13,Nathan AkÃ©\Nathan-Ake,nl NED,DF,Watford,20,1995,24,1875,78,54.8,20.8,20,,4,,3,1.38,25,24,+1,+0.05,+0.69,Matches
14,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,25,1989,38,2749,72,80.4,30.5,34,,4,,0,2.13,54,22,+32,+1.05,+1.05,Matches
15,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,26,1989,38,3419,90,100.0,38.0,38,,0,,0,1.84,69,35,+34,+0.89,+0.89,Matches
16,Joe Allen\Joe-Allen,wal WAL,MF,Liverpool,25,1990,19,735,39,21.5,8.2,8,,11,,10,1.53,16,10,+6,+0.73,+0.50,Matches
17,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,19,1996,33,2470,75,72.2,27.4,28,,5,,1,2.03,56,21,+35,+1.28,+1.37,Matches
