Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
566,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,25,1993,29,2474,85,72.3,27.5,28,88,1,6,5,0.97,28,40,-12,-0.44,-1.01,28.4,42.3,-13.9,-0.51,-0.47,Matches
567,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,29,1988,17,1520,89,44.4,16.9,17,89,0,,12,1.29,26,29,-3,-0.18,+0.63,20.7,22.7,-2.0,-0.12,+0.24,Matches
568,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,33,1985,30,2568,86,75.1,28.5,28,89,2,41,6,1.63,50,43,+7,+0.25,-0.18,41.9,38.6,+3.3,+0.12,-0.74,Matches
569,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,33,1985,26,2091,80,61.1,23.2,23,87,3,32,7,1.38,35,35,0,0.00,+0.20,31.1,34.2,-3.1,-0.13,+0.51,Matches
570,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,25,1992,34,3040,89,88.9,33.8,34,89,0,,0,1.26,48,49,-1,-0.03,+0.21,44.9,41.8,+3.1,+0.09,+0.23,Matches
571,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,22,1995,22,1518,69,44.4,16.9,16,85,6,26,4,0.64,13,32,-19,-1.13,+0.20,18.0,29.4,-11.5,-0.68,0.00,Matches
572,Davide Zappacosta\Davide-Zappacosta,it ITA,DF,Chelsea,26,1992,4,125,31,3.7,1.4,1,90,3,12,19,2.50,1,0,+1,+0.72,+0.09,2.0,0.9,+1.1,+0.79,+0.19,Matches
573,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,21,1996,14,1153,82,33.7,12.8,14,82,0,,7,3.00,29,4,+25,+1.95,+0.09,27.4,6.2,+21.2,+1.66,+0.26,Matches
574,Kenneth Zohore\Kenneth-Zohore,dk DEN,FW,Cardiff City,24,1994,19,746,39,21.8,8.3,7,78,12,17,6,0.74,8,19,-11,-1.33,-0.52,9.0,16.0,-7.0,-0.85,-0.34,Matches
575,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Everton,23,1994,32,2609,82,76.3,29.0,29,90,3,0,2,1.31,40,39,+1,+0.03,-0.74,37.0,32.8,+4.2,+0.14,+0.28,Matches
