Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
536,Roberto Soldado\Roberto-Soldado,es ESP,FW,Tottenham,29,1985,24,804,34,23.5,8.9,7,,17,,10,1.63,11,14,-3,-0.34,-0.61,Matches
537,Alex Song\Alex-Song,cm CMR,DFMF,West Ham,26,1987,28,2245,80,65.6,24.9,25,,3,,2,1.18,31,32,-1,-0.04,+0.11,Matches
538,Marvin Sordell\Marvin-Sordell,eng ENG,FW,Burnley,23,1991,14,289,21,8.5,3.2,2,,12,,8,0.21,1,2,-1,-0.31,+0.38,Matches
539,Pape SouarÃ©\Pape-Souare,sn SEN,DF,Crystal Palace,24,1990,9,605,67,17.7,6.7,7,,2,,3,1.67,8,9,-1,-0.15,-0.05,Matches
540,JuliÃ¡n Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,35,1979,36,3204,89,93.7,35.6,36,,0,,2,1.17,43,49,-6,-0.17,-1.00,Matches
541,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,DFMF,Tottenham,23,1990,12,459,38,13.4,5.1,4,,8,,11,2.42,5,3,+2,+0.39,+0.30,Matches
542,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,21,1992,1,90,90,2.6,1.0,1,,0,,0,0.00,0,1,-1,-1.00,-0.32,Matches
543,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,20,1994,0,,,,,0,,0,,1,,,,,,,Matches
544,Raheem Sterling\Raheem-Sterling,eng ENG,FWMF,Liverpool,19,1994,35,3045,87,89.0,33.8,34,,1,,1,1.60,45,38,+7,+0.21,+0.93,Matches
545,Jamie Sterry\Jamie-Sterry,eng ENG,DF,Newcastle Utd,18,1995,0,,,,,0,,0,,2,,,,,,,Matches
546,John Stones\John-Stones,eng ENG,DF,Everton,20,1994,23,2043,89,59.7,22.7,23,,0,,5,1.22,23,25,-2,-0.09,-0.09,Matches
547,Remie Streete\Remie-Streete,eng ENG,DF,Newcastle Utd,19,1994,0,,,,,0,,0,,2,,,,,,,Matches
548,Daniel Sturridge\Daniel-Sturridge,eng ENG,FWMF,Liverpool,24,1989,12,752,63,22.0,8.4,7,,5,,0,2.08,15,9,+6,+0.72,+0.79,Matches
549,Yun Suk-young\Yun-Suk-young,kr KOR,DF,QPR,24,1990,23,1722,75,50.4,19.1,19,,4,,0,1.00,27,39,-12,-0.63,+0.38,Matches
550,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Swansea City,25,1989,33,2689,81,78.6,29.9,30,,3,,0,1.58,36,33,+3,+0.10,+0.84,Matches
551,Suso\Suso,es ESP,FWMF,Liverpool,20,1993,0,,,,,0,,0,,1,,,,,,,Matches
552,Frankie Sutherland\Frankie-Sutherland,ie IRL,DFMF,QPR,20,1993,0,,,,,0,,0,,1,,,,,,,Matches
553,Wojciech SzczÄ™sny\Wojciech-Szczesny,pl POL,GK,Arsenal,24,1990,17,1498,88,43.8,16.6,17,,0,,17,1.59,29,21,+8,+0.48,-0.78,Matches
554,Thomas SÃ¸rensen\Thomas-Sorensen,dk DEN,GK,Stoke City,38,1976,0,,,,,0,,0,,14,,,,,,,Matches
555,Adel Taarabt\Adel-Taarabt,ma MAR,FWMF,QPR,25,1989,7,297,42,8.7,3.3,3,,4,,3,0.43,2,6,-4,-1.21,-0.43,Matches
