Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,23,1990,28,2307,82,67.5,25.6,26,,2,,0,1.04,22,39,-17,-0.66,-0.26,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,MF,Newcastle Utd,18,1995,4,132,33,3.9,1.5,0,,4,,1,1.00,3,2,+1,+0.68,+1.34,Matches
3,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Newcastle Utd,21,1992,13,664,51,19.4,7.4,7,,6,,7,1.23,7,9,-2,-0.27,+0.41,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,28,1985,29,1511,52,44.2,16.8,15,,14,,9,1.45,24,15,+9,+0.54,+0.82,Matches
5,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Tottenham,30,1984,13,813,63,23.8,9.0,9,,4,,2,1.31,11,9,+2,+0.22,+0.12,Matches
6,AdriÃ¡n\Adrian,es ESP,GK,West Ham,27,1987,38,3392,89,99.2,37.7,38,,0,,0,1.24,44,47,-3,-0.08,-0.08,Matches
7,Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FWMF,Aston Villa,27,1986,34,2693,79,78.7,29.9,30,,4,,0,1.00,22,42,-20,-0.67,+0.07,Matches
8,Liam Agnew\Liam-Agnew,eng ENG,MF,Sunderland,19,1995,0,,,,,0,,0,,4,,,,,,,Matches
9,Sergio AgÃ¼ero\Sergio-Aguero,ar ARG,FW,Manchester City,26,1988,33,2531,77,74.0,28.1,30,,3,,0,2.00,62,31,+31,+1.10,-0.31,Matches
10,Karim El Ahmadi\Karim-El-Ahmadi,ma MAR,MF,Aston Villa,29,1985,0,,,,,0,,0,,1,,,,,,,Matches
11,Semi Ajayi\Semi-Ajayi,ng NGA,DFMF,Arsenal,20,1993,0,,,,,0,,0,,3,,,,,,,Matches
12,Nathan AkÃ©\Nathan-Ake,nl NED,DFMF,Chelsea,19,1995,1,18,18,0.5,0.2,0,,1,,9,0.00,0,0,0,0.00,-1.08,Matches
13,Chuba Akpom\Chuba-Akpom,eng ENG,FW,Arsenal,18,1995,3,30,10,0.9,0.3,0,,3,,2,1.00,2,0,+2,+6.00,+5.12,Matches
14,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,24,1989,18,1031,57,30.1,11.5,10,,8,,2,1.44,21,9,+12,+1.05,+1.84,Matches
15,AntolÃ­n Alcaraz\Antolin-Alcaraz,py PAR,DF,Everton,32,1982,8,527,66,15.4,5.9,6,,2,,23,1.38,11,6,+5,+0.85,+1.07,Matches
16,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Southampton,25,1989,26,2261,87,66.1,25.1,26,,0,,1,1.65,43,23,+20,+0.80,+0.72,Matches
17,Joe Allen\Joe-Allen,wal WAL,MF,Liverpool,24,1990,21,1470,70,43.0,16.3,16,,5,,7,1.52,21,22,-1,-0.06,-0.29,Matches
18,Jak Alnwick\Jak-Alnwick,eng ENG,GK,Newcastle Utd,21,1993,6,495,83,14.5,5.5,5,,1,,3,1.17,10,14,-4,-0.73,-0.14,Matches
19,Jozy Altidore\Jozy-Altidore,us USA,FW,Sunderland,24,1989,11,311,28,9.1,3.5,2,,9,,8,0.82,4,4,0,0.00,+0.64,Matches
20,Sone Aluko\Sone-Aluko,ng NGA,FWMF,Hull City,25,1989,25,1242,50,36.3,13.8,13,,12,,7,0.72,10,19,-9,-0.65,-0.28,Matches
21,Ricky Ãlvarez\Ricky-Alvarez,ar ARG,MF,Sunderland,26,1988,13,497,38,14.5,5.5,5,,8,,4,0.77,6,11,-5,-0.91,-0.38,Matches
22,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,West Ham,29,1985,24,1184,49,34.6,13.2,14,,10,,8,1.38,17,18,-1,-0.08,0.00,Matches
23,Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,22,1992,10,588,59,17.2,6.5,7,,3,,13,2.10,10,7,+3,+0.46,+0.65,Matches
24,Thierry Ambrose\Thierry-Ambrose,fr FRA,FWMF,Manchester City,17,1997,0,,,,,0,,0,,1,,,,,,,Matches
25,Sammy Ameobi\Sammy-Ameobi,eng ENG,FWMF,Newcastle Utd,22,1992,25,1418,57,41.5,15.8,15,,10,,5,1.04,15,13,+2,+0.13,+1.25,Matches
