team,AvgValue,AvgFifa,AvgRating,Avg90,AvgGoal,Points,Wins,Draws,Losses,PPG
Arsenal15,22.466667,81.199997,7.1480002,.74866664,1.8419631,71,20,11,7,1.8684211
Aston Villa15,4.6333332,75.666664,6.6919999,-1.3053334,.35526472,17,3,3,32,.44736841
Bournemouth15,3.1333334,72.066666,6.7673335,-.53733331,.69105148,42,11,9,18,1.1052631
Chelsea15,27.133333,83.133331,6.9093332,.14933333,1.1215575,50,12,14,12,1.3157895
Crystal Palace15,6.5999999,75.466667,6.822,-.27200001,.8172015,42,11,9,18,1.1052631
Everton15,12.633333,77.73333,6.9439998,.16533333,1.1273175,47,11,14,13,1.2368422
Leicester City15,8.1000004,73.199997,7.0913334,.82733333,1.9750508,81,23,12,3,2.1315789
Liverpool15,18.799999,79.26667,6.9860001,.28333333,1.2409685,60,16,12,10,1.5789474
Manchester City15,28.333334,82.533333,7.0886664,.81800002,1.884465,66,19,9,10,1.7368422
Manchester Utd15,22.133333,80.73333,6.8600001,.36866668,1.432974,66,19,9,10,1.7368422
Newcastle Utd15,7.7666669,75.066666,6.7593331,-.49000001,.71257812,37,9,10,19,.97368419
Norwich City15,3.6666667,73.73333,6.6253333,-.68066669,.61130989,34,9,7,22,.89473683
Southampton15,10.8,76.933334,6.9633331,.5,1.4885908,63,18,9,11,1.6578947
Stoke City15,7.8000002,76.800003,6.7973332,-.35933334,.77601641,51,14,9,15,1.3421053
Sunderland15,4.5,75.400002,6.8286667,-.37599999,.8093583,39,9,12,17,1.0263158
