TeamEGoals,AllowedEGoals,TeamPressure,AllowedPressure,matchtime,matchday,PG,HA,TeamShots,AllowedShots,TeamFouls,AllowedFouls,TeamCorners,AllowedCorners,TeamYellow,TeamRed,AllowedYellow,DifShots,DifFouls,DifCorners,DifYellow,DifRed,DifPressure,DifEGoals,AllowedRed,matchdayaux
2.2376599,0.554726,6.9142857,10,15,Sat,3,1,0.38461539,0.25,9,11,4,5,1,0,3,0.13461539,-2,-1,-2,0,-3.0857143,1.6829339,0,3
1.1674,2.2065699,8.7407408,7.8421054,15,Sat,0,0,0.375,0.44444445,10,16,2,8,1,0,2,-0.069444448,-6,-6,-1,0,0.89863539,-1.0391699,0,3
1.04649,2.3057899,20.916666,14.882353,15,Sat,1,0,0.25,0.38461539,11,6,4,3,1,0,0,-0.13461539,5,1,1,0,6.0343132,-1.2593,0,3
0.61738998,1.20057,16.263159,6.2083335,17,Sat,0,1,0.2857143,0.46666667,10,16,6,4,0,0,0,-0.18095237,-6,2,0,0,10.054825,-0.58318001,0,3
1.48842,2.00172,5.3333335,20.166666,14,Sun,3,1,0.40000001,0.625,12,12,7,7,1,0,4,-0.22499999,0,0,-3,-1,-14.833332,-0.51329994,1,4
1.92509,1.95514,6.787879,12.176471,16,Sun,1,1,0.30769232,0.69230771,13,19,11,6,3,0,5,-0.38461539,-6,5,-2,-1,-5.3885918,-0.030050039,1,4
2.9328101,0.29107299,6.9583335,41.900002,11,Sat,3,1,0.42857143,0.125,5,4,10,1,0,0,0,0.30357143,1,9,0,0,-34.941669,2.641737,0,3
1.04944,0.57732302,6.5454545,17.083334,14,Sat,3,1,0.38461539,0.54545456,19,11,4,3,4,0,2,-0.16083917,8,1,2,0,-10.53788,0.47211701,0,3
3.0679901,1.49359,7.0999999,13.107142,14,Sat,3,0,0.40000001,0.36363637,11,8,5,7,2,0,1,0.036363631,3,-2,1,0,-6.0071425,1.5744001,0,3
1.88034,1.5765899,12.523809,12.823529,14,Sat,0,1,0.23529412,0.63636363,10,7,12,6,1,1,1,-0.40106952,3,6,0,1,-0.29971981,0.30375004,0,3
1.10019,0.45914099,9.7200003,4.7714286,14,Sat,3,1,0.5,0.33333334,14,14,3,9,1,0,2,0.16666666,0,-6,-1,0,4.9485717,0.64104903,0,3
0.341654,1.68545,12.1,3.9642856,14,Sat,1,0,0.14285715,0.35714287,7,13,6,3,2,0,0,-0.21428572,-6,3,2,0,8.1357145,-1.343796,0,3
2.3443601,1.7413,7.9583335,18.428572,16,Sat,0,0,0.31999999,0.42857143,7,8,16,3,1,0,3,-0.10857144,-1,13,-2,0,-10.470238,0.60306013,0,3
1.4154201,1.50641,12.090909,5.516129,13,Sun,3,1,0.46153846,0.35714287,5,14,7,7,0,0,4,0.1043956,-9,0,-4,-1,6.57478,-0.090989947,1,4
2.8320899,1.00616,9.0714283,21.416666,15,Sun,1,1,0.22580644,0.40000001,14,4,7,1,3,0,3,-0.17419356,10,6,0,0,-12.345238,1.8259299,0,4
1.40502,0.53527898,9.681818,10.090909,19,Mon,1,1,0.5,0.07692308,13,12,2,4,2,0,1,0.42307693,1,-2,1,0,-0.409091,0.86974102,0,2
2.1802101,1.29773,4.0857143,17.9375,19,Fri,0,1,0.23999999,0.5,8,9,4,5,1,0,3,-0.25999999,-1,-1,-2,0,-13.851786,0.88248014,0,1
1.2875201,1.33735,10.636364,5.6176472,11,Sat,3,1,0.4375,0.36363637,16,13,8,2,1,0,2,0.073863626,3,6,-1,0,5.0187168,-0.04982996,0,3
0.80142802,2.3931201,14.9,11.68,14,Sat,0,0,0.18181819,0.46153846,10,11,3,7,1,0,0,-0.27972028,-1,-4,1,0,3.2199993,-1.591692,0,3
6.6304898,0.34471801,11.333333,35.833332,14,Sat,3,1,0.39285713,0.80000001,5,9,5,4,2,0,2,-0.40714288,-4,1,0,0,-24.5,6.2857718,0,3
0.50801098,1.26041,13.15,5.647059,14,Sat,3,0,0.5,0.1875,9,9,3,12,3,0,1,0.3125,0,-9,2,0,7.5029407,-0.75239897,0,3
1.09807,1.21592,22.9,6.0952382,16,Sat,1,1,0.36363637,0.1875,12,8,5,3,2,0,1,0.17613637,4,2,1,0,16.804762,-0.11784995,0,3
